System;Web;Email;CLI;GUI;REST;SOAP;Mylyn[47];Visual Studio;Others;
Apache Bloodhound;Yes;Optional[48][49];No;No;No;No;Yes;No;Yes XMLRPC;
Assembla Tickets;Yes;Yes;Yes;No;Yes;No;Yes;No;No;
Axosoft;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes - iPhone;
Bugzilla;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes[50];Yes XMLRPC[51];
Debbugs;No;Yes;Yes;No;No;No;No;No;No;
Faveo Helpdesk;Yes;Yes;No;No;Yes;No;No;No;Yes - Android App iOS App;
FogBugz;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes XML;
Fossil;Yes;No;Yes;No;No;No;No;No;No;
FusionForge;Yes;No;No;No;No;Yes;No;No;No;
GLPI;Yes;Yes;No;No;Yes;No;No;No;No;
GNATS;Yes;Yes;Yes;Yes;No;No;No;No;No;
HP Quality Center;Yes;No;No;Yes[52];Yes;No;Yes[53];Yes[50];Yes - IntelliJ IDEA;
IBM Rational ClearQuest;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;
IBM Rational Team Concert;Yes;No;No;Yes;Yes;No;Yes;Yes;No;
Jira;Yes;Yes;Yes[54];Yes;Yes;Yes;Yes;Yes[50];Yes - Android App, iPhone App;
Launchpad;Yes;Yes;No;No;Yes;No;No;No;Yes - Python[55];
Liberum Help Desk;Yes;No;No;No;No;No;No;No;No;
MantisBT;Yes;Yes;No;No;No;Yes;Yes;No;Yes - Android App;
Microsoft Dynamics CRM;Yes;Yes;No;No;No;Yes;No;No;No;
org-mode;No;No;Yes;No;No;No;No;No;No;
OTRS;Yes;Yes;No;No;Yes;Yes;No;No;No;
Phabricator;Yes;Yes;Yes;Yes;Yes;No;No;No;No;
Pivotal Tracker;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes - XML, iOS App;
Redmine;Yes;Yes;Partial [notes 2];No;Yes;No;Yes;No;Yes - Android App, iOS App;
Request Tracker;Yes;Yes;Yes;No;Yes[56];No;No;No;No;
Roundup;Yes;Yes;Yes;No;No;No;No;No;Yes XMLRPC[57];
StarTeam;Yes;No;No;Yes;No;No;No;Yes;No;
Supportworks;Yes;Yes;No;Yes;Yes[58];No;No;No;No;
SysAid;Yes;Yes;No;Yes;Yes;Yes;No;No;No;
Team Foundation Server;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;
TestTrack;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes - XML, Eclipse;
The Bug Genie;Yes;Yes;Yes;No;Yes;No;No;No;No;
Trac;Yes;Optional[48];No;No;No;No;Yes;No;Yes XMLRPC;
TrackerSuite.Net;Yes;Yes;No;No;No;No;No;No;No;
Tuleap;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;
Twproject;Yes;Yes;No;No;No;No;No;No;No;
Usersnap;Yes;Yes;No;Yes;No;No;No;No;No;
Wrike;Yes;No;No;No;No;No;No;No;No;
YouTrack;Yes;Yes;No;Yes;Yes;No;Yes[59];No;No;
System;Web;Email;CLI;GUI;REST;SOAP;Mylyn[47];Visual Studio;Others;
