 ;Selection editing;Layers;Histogram;Scripting;HDR;Retouching;Resizing;Noise removal;Lens correction;Sized Printing;Sharpening;Color correction;Image library;Plug-in support[15];Non-destructive editing;
Ability Photopaint;Yes;Yes;Yes;Yes;No;?;Yes;?;?;?;?;?;?;?;?;
ACD Canvas;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;?;Yes;?;Yes;No;?;
ACDSee (Win);Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;?;Yes;Yes;Yes;No;Partial;
Acorn Image Editor;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;?;Yes;Yes;No;Yes;Yes;
Adobe Fireworks*;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;?;
Adobe Photoshop;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes (Through Mini Bridge);Yes;Partial;
Adobe Photoshop Lightroom;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Affinity Photo;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;
Aperture;Yes;Partial;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Autodesk SketchBook Pro;Yes;Yes;No;No;No;?;?;?;?;?;Yes;?;?;?;?;
Artipic;Yes;Yes;Yes;No;No;Yes;Yes;No;No;Yes;Yes;Yes;No;No;Yes;
ArtRage;Yes;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;No;No;?;?;?;
Artweaver;Yes;Yes;No;Via plug-in[16];No;Yes;Yes;Yes;?;?;Yes;Yes;No;Yes;?;
Bibble*;Partial;Partial;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;
Bloom Image Editor;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;No;Yes;Yes;No;No;Yes;
Brush Strokes Image Editor;Yes;No;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;
Capture One;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Chasys Draw IES;Yes;Yes;Yes;Yes;Partial;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;
CinePaint;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;?;
CodedColor PhotoStudio Pro;Yes;Yes;Yes;No;?;?;?;?;?;?;?;?;?;?;?;
Corel PaintShop Pro;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;
Corel Painter;Yes;Yes;No;Yes;No;Yes;Yes;Yes;?;?;Yes;Yes;?;Yes;?;
Corel Photo-Paint;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;
darktable;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;
Deluxe Paint*;No;Partial[17];Partial;Yes;No;Yes;Yes;No;No;?;No;No;?;No;?;
DigiKam;No;No;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Erdas Imagine;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;?;
Fatpaint;Yes;Yes;Yes;No;No;Yes;Yes;No;No;Yes;Yes;Yes;Yes;No;?;
Fotografix;Yes;Yes;No;Partial;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;?;
GIMP;Yes;Yes;Yes;Yes;Via plug-in[18];Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;
GIMPshop;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;?;
GraphicConverter;Yes;Partial;Yes;Yes;No;Yes;Yes;Yes;Via plug-in;Yes;Yes;Yes;Yes;Yes;?;
HDR PhotoStudio;No;No;No;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;?;
Helicon Filter;Partial;No[19];Yes;No[20];Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;?;
iPhoto*;No;No;Yes;Partial[21];No;Yes;Partial;Yes;Partial;Yes;Yes;Yes;Yes;Yes;Yes;
IrfanView;Yes;No;Yes;No;No;Via plug-in[22];Yes;No;No;?;Yes;Yes;?;Yes;?;
Iridient Developer;?;Yes;Yes;?;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Kolourpaint;Yes;No;No;No;No;?;?;?;?;?;?;?;?;?;?;
Krita;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;Yes;Yes;
LiveQuartz;Yes;Yes;No;No;No;Yes;Yes;Yes;No;?;Yes;Yes;No;No;Partial;
MacPaint*;Yes;No;No;No;No;?;?;?;?;?;?;?;?;?;?;
Microsoft Office Picture Manager*;Partial;No;No;No;No;No;Yes;No;No;Yes;No;?;No;No;?;
Microsoft Paint;No;No;No;No;No;Partial;Yes;No;No;No;No;No;No;No;No;
Microsoft Photo Editor*;Yes;No;No;No;No;No;Yes;Yes;No;Yes;Yes;Yes;No;No;?;
OpenCanvas;Yes;Yes;Yes;No;?;Yes;Yes;No;No;Yes;Yes;Yes;No;?;?;
Paint.NET;Yes;Yes;Yes;Partial;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;No;
PC Paintbrush*;Yes;No;No;No;No;?;?;?;?;?;?;?;?;?;?;
Photofinish*;Yes;No;No;No;No;?;?;?;?;?;?;?;?;?;?;
Photogenics;Yes;Yes;Yes;?;Yes;?;?;?;?;?;?;?;?;?;?;
PhotoLine;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
PhotoPerfect*;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;?;
Photos;No;No;Yes;Partial[23];No;Yes;Partial;Yes;Partial;Yes;Yes;Yes;Yes;Yes;Yes;
Photo Raster;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;No;Yes;Yes;No;No;?;
Picasa*;No;No;Yes;No;Partial[24];Partial;Partial;No;No;Yes;Yes;Yes;Yes;No;Yes;
PicMaster;Yes;No;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;?;
PixBuilder Photo Editor;Yes;Yes;Yes;No;No;?;?;?;?;?;?;?;?;?;?;
Pixelmator;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;
Pixia;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;Yes;?;?;Yes;?;
Project Dogwaffle;?;Commercial version;Yes;Partial;No;Yes;Yes;?;?;?;Yes;Yes;?;Yes;?;
QFX;Yes;Yes;Yes;Yes;?;?;?;?;?;?;?;?;?;Yes;?;
RawTherapee;No;No;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;
Serif PhotoPlus;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;?;
