File system;DOS;Windows 9x;Windows NT;Linux;"classic" Mac OS;macOS;FreeBSD;OS/2;BeOS;Minix;Solaris;z/OS;
APFS;No;No;No;No;No;Yes (Since macOS Sierra);No;No;No;No;No;No;
BeeGFS;No;No;No;Yes;No;?;No;No;?;?;?;No;
DECtape;No;No;No;No;No;No;No;No;No;No;No;No;
Level-D;No;No;No;?;No;?;No;No;No;No;?;?;
RT-11;No;No;No;No;No;No;No;No;No;No;No;No;
Version 6 Unix file system (V6FS);No;No;No;?;No;?;No;No;?;?;?;?;
Version 7 Unix file system (V7FS);No;No;No;Yes;No;?;No;No;?;?;?;?;
FAT12;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Partial (via dosdir, dosread, doswrite);Yes;?;
FAT16 / FAT16B / FAT16X;Yes (FAT16 from DOS 3.0, FAT16B from DOS 3.31, FAT16X from DOS 7.0);Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Partial (via dosdir, dosread, doswrite, not FAT16X);Yes;?;
FAT32 / FAT32X;Yes (from DOS 7.10);Yes (from Windows 95 OSR2);Yes (from Windows 2000);Yes;Yes?;Yes;Yes;Yes;Yes;No;Yes;?;
GFS;No;No;No;Yes;No;?;No;?;?;?;?;?;
HPFS;Partial (with third-party drivers);No;Partial (with NT 3.1 to 4.0 only);Yes;?;?;Yes;Yes (from OS/2 1.2);?;No;?;?;
NTFS;Partial (with third-party drivers);Yes (with 3rd-party drivers like “Paragon NTFS for Win98”,“DiskInternals NTFS Reader”?;Yes;Yes with ntfs-3g;No;Yes natively read only, write support with Paragon NTFS or ntfs-3g;Yes with ntfs-3g;?;Yes with ntfs-3g;No;Yes with ntfs-3g;?;
Apple HFS;No;No;Yes with Paragon HFS+ [68];Yes;Yes;Yes;No;?;Yes;No;?;No;
Apple HFS Plus;No;No;Yes with Paragon HFS+ [68];Partial - writing support only to unjournalled FS;Yes from Mac OS 8.1;Yes;No;?;with addon;No;?;No;
FFS;No;No;?;?;?;Yes;Yes;?;?;?;?;?;
UFS1;No;No;Partial (with ufs2tools, read only);Partial - read only;?;Yes;Yes;No;?;?;Yes;?;
UFS2;No;No;Partial (with ufs2tools, read only);Yes;?;Yes;Yes;No;?;?;?;?;
LFS;No;No;No;?;?;?;No;No;?;?;?;?;
ext;No;No;No;Yes - until 2.1.20;No;No;No;No;No;No;No;No;
Xiafs;No;No;No;Yes - until 2.1.20 Experimental port available to 2.6.32 and later [69][70];No;No;No;No;No;No;No;No;
ext2;No;No;Yes with Paragon ExtFS [71] or partial with Ext2 IFS[72] or ext2fsd[73];Yes;No;Yes with Paragon ExtFS [74] or ext2fsx;Yes;No;Yes;?;?;?;
ext3;No;No;Yes with Paragon ExtFS [71] or partial with Ext2 IFS[72] or ext2fsd[73];Yes;Partial (read only)[citation needed];Yes with Paragon ExtFS [74] or partial with ext2fsx (journal not updated on writing);Partial (read-only)[75][76];No;with addon;?;Yes;?;
ext4;No;No;Yes with Paragon ExtFS [71] or partial with Ext2 IFS[72] or ext2fsd[73];Yes;?;Yes with Paragon ExtFS [74];Partial support in kernel since version 10.1 (read-only)[75][76];No;with addon;?;?;?;
NOVA;No;No;No;Yes;No;No;No;No;No;No;No;No;
Lustre;No;No;No;Yes[77];?;?;No;?;?;?;Yes;?;
NILFS;No;No;?;Yes as an external kernel module;?;?;No;?;?;?;?;?;
F2FS;No;No;No;Yes;No;No;No;No;No;No;No;No;
ReiserFS;No;No;No;Yes;?;?;Partial Read Only;?;with addon;?;?;?;
Reiser4;No;No;No;Yes with a kernel patch;?;?;No;?;?;?;?;?;
SpadFS;No;No;No;Yes;No;No;?;No;No;No;No;No;
OCFS;No;No;No;Yes;?;?;No;No;?;?;?;?;
